product,organic,avg_combined_mrl_ratio,median_combined_mrl_ratio,p90_combined_mrl_ratio,p95_combined_mrl_ratio,avg_substances_found,median_substances_found,p90_substances_found,p95_substances_found,samples
Agretti,0,0.005,0.005,0.009000000000000001,0.0095,0.5,0.5,0.9,0.95,2
Alfalfa infusion leaves,1,0.023,0.023,0.023,0.023,1.0,1.0,1.0,1.0,1
Alkekengi,0,1.7396247023809523,0.036875,4.1498609523809495,8.906509841269834,3.875,2.0,8.299999999999997,12.149999999999995,8
Allspice fruit,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15
Almonds,0,0.11051020408163266,0.0,0.14400000000000007,0.17599999999999993,0.20408163265306123,0.0,1.0,1.0,49
Almonds,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Almonds and similar-,0,0.0274,0.0,0.08220000000000002,0.10959999999999999,0.4,0.0,1.2000000000000002,1.5999999999999996,5
Almonds sweet,0,0.06708333333333333,0.0,0.21264000000000044,0.36516666666666664,0.21875,0.0,1.0,1.0,32
Almonds sweet,1,0.007877037037037037,0.0,0.01431466666666668,0.04249066666666664,0.2222222222222222,0.0,1.0,1.0,9
Aloe vera juice,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Amaranth grains,0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.42857142857142855,1.0,1.0,1.0,1.0,1
Amaranth grains,1,0.10475,0.0,0.29330000000000006,0.35614999999999986,0.25,0.0,0.7000000000000002,0.8499999999999996,4
Amaranth leaves,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Ambarellas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
American persimmons,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
American persimmons and similar-,0,0.6666666666666666,0.0,1.6,1.7999999999999998,0.3333333333333333,0.0,0.8,0.8999999999999999,3
American plums,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18
Angled luffas,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Animal liver,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Anise seed,0,0.9352183333333333,0.30041666666666667,2.271155,2.46154,3.4,1.0,7.6000000000000005,8.799999999999999,5
Anise seed and similar-,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Annatto seed,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Apples,0,9.807446347131016,0.07346666666666667,0.53915,6.693812499999405,15.674825174825175,2.0,6.0,10.0,2002
Apples,1,9.84051338910339,0.0,0.34169999999999995,1.5242857142857078,13.886486486486486,0.0,3.0,7.399999999999949,185
Apples and similar-,0,0.11580005291005291,0.05477777777777777,0.3271777777777778,0.4399166666666666,1.7083333333333333,1.0,4.0,5.0,120
Apples and similar-,1,0.020555555555555556,0.0,0.0450000000000001,0.1604999999999999,0.1111111111111111,0.0,0.3000000000000007,1.0,18
Apricots,0,9.740465963420595,0.1038,0.9623916666666671,2.5159283333333313,15.223938223938225,2.0,6.0,8.149999999999977,518
Apricots,1,0.032438596491228065,0.0,0.06033333333333316,0.2534666666666664,0.47368421052631576,0.0,1.3999999999999986,3.1999999999999957,19
Apricots and similar-,0,0.16472589807852964,0.06666666666666667,0.25919999999999993,0.47639999999999977,1.3333333333333333,1.0,3.0,3.1999999999999957,57
Apricots and similar-,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
Arabian coffee beans,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
