sampMatCode.base.building.DESC,organic,mean,sum,count
Agretti,0,0.0,0,290
Alfalfa infusion leaves,1,0.0,0,363
Alkekengi,0,0.0005532503457814661,2,3615
Allspice fruit,0,0.0,0,1831
Almonds,0,0.00011728141675951445,2,17053
Almonds,1,0.0,0,616
Almonds and similar-,0,0.0,0,1585
Almonds sweet,0,0.0006042296072507553,1,1655
Almonds sweet,1,0.0,0,2741
Aloe vera juice,0,0.0,0,313
Amaranth grains,0,0.0,0,441
Amaranth grains,1,0.0,0,641
Amaranth leaves,0,0.0,0,308
Ambarellas,0,0.0,0,3
American persimmons,0,0.0,0,821
American persimmons and similar-,0,0.0018726591760299626,1,534
American plums,0,0.0,0,1450
Angled luffas,0,0.0,0,431
Animal liver,0,0.0,0,72
Anise seed,0,0.0017605633802816902,1,568
Anise seed and similar-,0,0.0,0,73
Annatto seed,0,0.0,0,275
Apples,0,0.0001143954202042207,69,603171
Apples,1,2.9015363635044757e-05,2,68929
Apples and similar-,0,0.0,0,26525
Apples and similar-,1,0.0,0,4513
Apricots,0,0.00019299494885633854,29,150263
Apricots,1,0.0,0,6853
Apricots and similar-,0,0.00020060180541624874,2,9970
Apricots and similar-,1,0.0,0,418
Arabian coffee beans,1,0.0,0,583
Aromatic herbs,0,0.0005959475566150178,1,1678
Aronia berries,0,0.000847457627118644,1,1180
Aronia berries,1,0.0,0,238
Arrowroots,0,0.0,0,431
Asiatic pennywort,0,0.003246753246753247,2,616
Asparagus,0,6.771626883358727e-05,12,177210
Asparagus,1,0.0,0,4374
Asparagus and similar-,0,0.0,0,2415
Asparagus peas (with pods),0,0.0,0,145
Ass milk,0,0.0,0,9
Aubergines,0,9.040263071655385e-05,16,176986
Aubergines,1,0.0,0,7808
Aubergines and similar-,0,0.0,0,14059
Aubergines and similar-,1,0.0,0,414
Avocados,0,9.478573158787164e-05,9,94951
Avocados,1,0.0,0,8369
Avocados and similar-,0,0.0,0,7880
Avocados and similar-,1,0.0,0,951
Azaroles,0,0.0,0,166
Azuki beans (dry),0,0.001049317943336831,1,953
Azuki beans (dry),1,0.0,0,318
Baby carrots,0,0.0,0,870
Baby carrots,1,0.0,0,272
Baby corn,0,0.0006720430107526882,1,1488
Baby leaf chards,0,0.0,0,906
Baby leaf crops (including brassica species) and similar-,0,0.0,0,2930
Baby leaf escaroles,0,0.0,0,1484
Baby leaf lettuces,0,0.0013531799729364006,1,739
Baby leaf spinaches,0,0.0001264702162640698,2,15814
Baby leaf spinaches,1,0.0,0,993
Bacon,0,0.0,0,110
Baels,0,0.0,0,327
Balsam pear leaves,0,0.0,0,145
Bananas and similar-,0,7.87825470397458e-05,6,76159
Bananas and similar-,1,0.0,0,25293
Barley and similar-,0,0.0,0,1289
Barley and similar-,1,0.0,0,2880
Barley coffee ingredient,0,0.0,0,556
Barley coffee ingredient,1,0.0,0,278
Barley flour,0,0.0,0,194
Barley flour,1,0.0,0,1098
"Barley grain, pearled",0,0.0,0,5186
"Barley grain, pearled",1,0.0,0,3391
Barley grains,0,4.568922191255083e-05,2,43774
Barley grains,1,0.0,0,8632
Barley groats,0,0.0,0,1510
Barley malt syrup,0,0.0,0,924
Barley rolled grains,0,0.0,0,352
Basil,0,0.0014242115971515768,42,29490
Basil,1,0.0,0,6359
"Basil, dry",0,0.0022552151851155796,12,5321
"Basil, dry",1,0.0,0,195
Basils and mints,0,0.0,0,1585
"Bay leaves, dry",0,0.0,0,819
"Bay leaves, dry",1,0.0,0,471
Beans (dry) and similar-,0,0.00042876008300795206,75,174923
Beans (dry) and similar-,1,0.00023986567522187575,3,12507
Beans (fresh seeds without pods) and similar-,0,0.00025031289111389235,1,3995
Beans (with pods) and similar-,0,0.00020995381016176442,21,100022
Beans (with pods) and similar-,1,0.0,0,1699
Beef kidney,0,0.0,0,193
Beef liver,0,0.0007347201175552188,32,43554
Beef liver,1,0.0016194331983805667,2,1235
Beefsteak tomato,0,0.0011299435028248588,1,885
Beetroot leaves,0,0.0005930807248764415,9,15175
Beetroot leaves,1,0.0,0,254
Beetroots,0,0.0001453780948759813,13,89422
Beetroots,1,0.0,0,19782
Beetroots and similar-,0,0.0,0,2186
Beetroots and similar-,1,0.0,0,317
Bilberries (European blueberries),0,0.0,0,2237
"Biscuits, rusks and cookies for children",0,7.031854299978904e-05,1,14221
"Biscuits, rusks and cookies for children",1,0.0,0,1623
Black cherries,1,0.0,0,308
Black eyed peas (dry),0,0.0019364833462432224,10,5164
Black kale,1,0.0,0,431
Black pepper,0,0.00025581990278843696,1,3909
Black pepper,1,0.0,0,548
Black radishes,0,0.001597444089456869,1,626
Blackberries,0,6.212337702677517e-05,2,32194
Blackberries,1,0.0,0,1364
Blackberries and similar-,0,0.0,0,1
Blackcurrants,0,0.0003401360544217687,6,17640
Blackcurrants,1,0.0,0,1974
"Blond psyllium (infusion seeds, husks)",1,0.0,0,275
Blood oranges,0,0.0005396654074473826,1,1853
Blueberries,0,8.978848398558253e-05,7,77961
Blueberries,1,0.0004472938720739526,3,6707
Blueberries and similar-,0,0.0,0,4328
Blueberries and similar-,1,0.0,0,634
Bog bilberries,0,0.0034482758620689655,3,870
Boiled eggs,0,0.0,0,29
Borlotti or other common beans (dry),0,7.445184826713323e-05,2,26863
Borlotti or other common beans (dry),1,0.0,0,2234
Borlotti or other common beans (without pods),0,0.0,0,566
Bottle gourds,0,0.0,0,145
"Bovine edible offal, non-muscle, other than liver and kidney",0,0.0,0,64
Bovine fat tissue,0,0.0,0,59568
Bovine fresh meat,0,4.4581160001783245e-05,1,22431
Bovine fresh meat,1,0.0,0,3085
Bovine kidney,0,0.0,0,4
Bovine liver,0,0.000245485789100431,9,36662
Bovine liver,1,0.0005608524957936063,1,1783
Bovine other slaughtering products,0,0.0,0,63
"Bovine, minced meat",0,0.000397456279809221,1,2516
"Bovine, minced meat",1,0.0,0,172
Boysenberries,0,0.0,0,550
Brazil nuts,0,0.00019519812609798947,1,5123
Brazil nuts,1,0.0,0,812
Brazil nuts and similar-,0,0.0,0,125
Broad beans (dry),0,0.00025144581342720644,1,3977
Broad beans (with pods),0,0.0,0,2065
Broad beans (without pods),0,0.0005220114842526536,6,11494
Broccoli,0,0.00012270691453463402,14,114093
Broccoli,1,0.0,0,12850
Broccoli and similar-,0,0.0,0,7795
Broccoli and similar-,1,0.0,0,1351
Brown cane sugar,0,0.0,0,1839
Brown cane sugar,1,0.0,0,616
Brussels sprouts,0,9.179575444635685e-05,8,87150
Brussels sprouts,1,0.0,0,1135
Brussels sprouts and similar-,0,0.0,0,1217
Buckwheat,0,0.0001890359168241966,3,15870
Buckwheat,1,0.0,0,3823
Buckwheat and other pseudo-cereals and similar-,0,0.0,0,34
Buckwheat and other pseudo-cereals and similar-,1,0.0,0,317
Buckwheat flour,0,0.0001413427561837456,1,7075
Buckwheat flour,1,0.0,0,2540
Buckwheat groats,0,0.00031107424305267526,6,19288
Bulgur,0,0.00011723329425556858,1,8530
Bulgur,1,0.0,0,616
"Burdock, greater or edible",0,0.0,0,272
Butter,0,0.0,0,4494
Butter,1,0.0,0,918
Butternut squashes,0,0.0,0,5952
Butternut squashes,1,0.0,0,1048
Calabrese,0,0.0,0,144
Calf fresh meat,0,0.0,0,2707
Calf fresh meat,1,0.0,0,196
Canarium nuts (indicum),0,0.0,0,271
"Candied fruit, mixed fruit",0,0.0,0,306
Canned mushrooms,0,0.0,0,217
Canned mushrooms,1,0.0,0,1000
Canned or jarred apple,0,0.0,0,237
Canned or jarred apple,1,0.0,0,472
Canned or jarred chickpea,0,0.0,0,1286
Canned or jarred common beans,0,0.0,0,272
Canned or jarred common beans,1,0.0,0,272
Canned or jarred fruit,0,0.0,0,1685
Canned or jarred fruit,1,0.0,0,414
Canned or jarred peach,0,0.0,0,1135
Canned or jarred pear,0,0.0,0,1204
Canned or jarred peas,0,0.0,0,3939
Canned or jarred pineapple,0,0.0,0,3298
Canned or jarred plum,0,0.0,0,2781
Canned or jarred plum,1,0.0,0,414
Canned or jarred sour cherry,0,0.0,0,7863
Canned or jarred sweet cherry,0,0.0,0,414
Canned/jarred vegetables,0,0.0023437866216659635,50,21333
Canned/jarred vegetables,1,0.0,0,3460
Cape gooseberries,0,0.0,0,748
Capers buds,0,0.0,0,910
Capers buds,1,0.0,0,308
Capsicum annuum hot cultivars,0,0.0,0,822
Carambolas,0,0.0,0,3518
Carambolas,1,0.0,0,273
Caraway fruit,0,0.0,0,1057
Cardamom fruit,0,0.0,0,1353
Cardamom fruit and similar-,0,0.025889967637540454,8,309
Cardoons and similar-,0,0.0,0,145
Carobs,0,0.0,0,1
Carrots,0,0.00011161273569648625,49,439018
Carrots,1,1.8925056775170325e-05,2,105680
Carrots and similar-,0,0.00019070867343046763,5,26218
Carrots and similar-,1,0.0004023335345001006,2,4971
Cashew nuts,0,0.00015093580197222782,3,19876
Cashew nuts,1,0.0,0,4170
Cashew nuts and similar-,0,0.0,0,3470
Cassava flour,0,0.0,0,928
Cassava leaves,0,0.0013869625520110957,1,721
Cassava roots,0,0.0005630630630630631,1,1776
Cassava roots and similar-,0,0.0,0,2250
Cassia bark (generic),0,0.0,0,546
Cassia bark (generic),1,0.0,0,456
Cattle fresh fat tissue,0,0.009771986970684038,27,2763
Cattle fresh fat tissue,1,0.0,0,26
